OrderDetailID,OrderID,ProductName,ProductType,Quantity
204,146,"Áo Mưa Nam Size Lớn Raincoat Men XXL 1m4 ( Thời Trang Cao Cấp Áo Khoác Măng tô, Dài Form Rộng Dây Kéo Khóa Chống Nước )","KÉO Tốt / Xanh Dương,1m2 (Cao <165cm)",1
205,146,"Áo Mưa Nam Size Lớn Raincoat Men XXL 1m4 ( Thời Trang Cao Cấp Áo Khoác Măng tô, Dài Form Rộng Dây Kéo Khóa Chống Nước )","KÉO Tốt / Xám,1m2 (Cao <165cm)",1
206,147,Sổ lò xo A5 200 trang Grand TMG-8542 148 x 210cm giấy 70gsm,SỔ_LÒXO_A5_200_TRANG,2
207,147,Sổ lò xo Grand A7 dày 200 trang TMG-8545 có kích thước rất nhỏ,. LÒ XO CHIỀU NGẮN,2
208,147,Sổ lò xo Grand A7 dày 200 trang TMG-8545 có kích thước rất nhỏ,LÒ XO THEO CHIỀU DÀI,2
209,148,Khoá dây cáp Onika chính hãng dày 22mm dài 800mm,,1
210,149,"Thuốc diệt chuột storm gói 4 viên, gói 20 viên","1 gói,Gói 20v",2
211,150,"Bẫy Đập Chuột, Đế Bằng Gỗ, Đập Không Vênh Bẫy , Bắt Tất Cả Loại Chuột Lớn Nhỏ",,2
212,151,Áo polo nam có cổ nhiều màu vải thun cá sấu 4 chiều cotton chuẩn form cao cấp Chiaro,"Xanh Đen,M",1
213,151,Áo polo nam có cổ nhiều màu vải thun cá sấu 4 chiều cotton chuẩn form cao cấp Chiaro,"Xanh Nhạt,M",1
214,151,Áo polo nam có cổ nhiều màu vải thun cá sấu 4 chiều cotton chuẩn form cao cấp Chiaro,"Đen,M",1
215,152,Dây nguồn máy tính tốt 1.8m,,3
216,153,Ổ cắm điện đa năng Gongniu GNVN V1060-1080- Công suất 10A/250V/2500W - Hàng chính hãng 100% bảo hành toàn quốc 3 năm,V1060-3M,1
217,153,Ổ cắm điện đa năng Gongniu GNVN-V1030-V1040 - 3 lỗ 1 công tắc - Công suất 10A/250V/2500W- Hàng chính hãng 100% bảo hành,V1040-3M,1
218,154,ĐỒ CHƠI VỊT BÓP XẢ STRESS/ Squishy Vịt Bóp GIẢM CĂNG THẲNG CUTE chất lượng đảm bảo,Hồng,1
219,154,Heo Hồng Bóp Xả Stress/Heo Hồng Squishy Dẻo Bóp Mềm giảm căng thẳng chất lượng đảm bảo,,1
220,155,Giá đỡ điện thoại 3 chân dùng trên xe hơi tiện lợi,,2
221,155,Chân nối giá đỡ camera banh xoay 360 độ vít 1/4inch,,1
222,156,"Cáp HDMI sang VGA, Chuyển đổi HDMI to VGA Cable Full HD",,1
223,157,"Viên sủi Oresol Pluz tăng cường sức đề kháng, giải khát, bù nước và điện giải (10 viên)",5 TUÝP,1
224,158,ORESOL -3B Bù Nước Và Chất Điện Giải,,2
225,159,"Áo Mưa Nam Size Lớn Raincoat Men XXL 1m4 ( Thời Trang Cao Cấp Áo Khoác Măng tô, Dài Form Rộng Dây Kéo Khóa Chống Nước )","KÉO Tốt / X. Đậm,1m2 (Cao <165cm)",1
226,160,Kính lão thị viễn thị đọc sách trung niên nam nữ cao cấp hàng tốt mắt sáng và rõ cực ôm và nhẹ,"2 độ,Không hộp",3
227,161,Ca nấu mì nấu lẩu mini inox siêu tốc size 18cm,Lồng hấp nhựa,1
228,162,"Viên Muối Tinh SeaSalt - NaCl 0,9% Lọ 50 Viên - Viên Muối Sinh Lý Tự Pha Dung Dịch Nước Muối Súc Miệng Vệ Sinh Hàng Ngày",,2
229,163,MUỐI TIÊU CHANH ỚT / LÁ CHANH TÂY NINH DH FOODS 120g,Muối tiêu chanh ớt,2
230,163,MUỐI TIÊU CHANH ỚT / LÁ CHANH TÂY NINH DH FOODS 120g,Muối tiêu lá chanh,2
